onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7490699
7.5	0	3751	aud_only	2	2	no Gabor shown	2	no Sound played	1	0.551016
13.5	0	6751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.4766143
19.5	0	9751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.6479063
25.5	0	12751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.8469017
31.5	0	15751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.635754
37.5	0	18751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.5639078
43.5	0	21751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.5708345
49.5	0	24751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6470363
55.5	0	27751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.5693017
61.5	0	30751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.5782111
67.5	0	33751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.9553585
73.5	0	36751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	1.086355
79.5	0	39751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.8209225
85.5	0	42751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	1.227043
91.5	0	45751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4542143
97.5	0	48751	aud_only	2	1	no Gabor shown	2	no Sound played	0	0.4065053
103.5	0	51751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.3025876
109.5	0	54751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.7487007
115.5	0	57751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.6121048
121.5	0	60751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.669357
127.5	0	63751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.051279
133.5	0	66751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.4136938
139.5	0	69751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.6195483
145.5	0	72751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.8918637
151.5	0	75751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.672797
157.5	0	78751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.7135915
163.5	0	81751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5850403
