onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.8514454
7.5	0	3751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.9045735
13.5	0	6751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	1.115375
19.5	0	9751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.3813777
25.5	0	12751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.738598
31.5	0	15751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5963788
37.5	0	18751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	1.662332
43.5	0	21751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.4291096
49.5	0	24751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.857928
55.5	0	27751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.373473
61.5	0	30751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.7865826
67.5	0	33751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.4516366
73.5	0	36751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.747676
79.5	0	39751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.9412672
85.5	0	42751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.396484
91.5	0	45751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.472817
97.5	0	48751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5597262
103.5	0	51751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.315999
109.5	0	54751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	2.133168
115.5	0	57751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.6014854
121.5	0	60751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.8814462
127.5	0	63751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.4639092
133.5	0	66751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.9976774
139.5	0	69751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.7011953
145.5	0	72751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.073287
151.5	0	75751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.4611333
157.5	0	78751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7490978
163.5	0	81751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.7747896
