onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	0	1.424075
7.5	0	3751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3210962
13.5	0	6751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3228228
19.5	0	9751	aud_only	2	1	no Gabor shown	2	no Sound played	0	1.373328
25.5	0	12751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.6057417
31.5	0	15751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	1.161825
37.5	0	18751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.4919646
43.5	0	21751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	1.291044
49.5	0	24751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.6420263
55.5	0	27751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.6760781
61.5	0	30751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.8285661
67.5	0	33751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	3.622829
73.5	0	36751	aud_only	2	2	no Gabor shown	2	no Sound played	1	1.623479
79.5	0	39751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.6335453
85.5	0	42751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	1.029535
91.5	0	45751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	0	0.8109358
97.5	0	48751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4735714
103.5	0	51751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.5074025
109.5	0	54751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.068624
115.5	0	57751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5420972
121.5	0	60751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	3.644475
127.5	0	63751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	1.00991
133.5	0	66751	aud_only	2	2	no Gabor shown	2	no Sound played	1	1.619407
139.5	0	69751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.6309314
145.5	0	72751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.2872135
151.5	0	75751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	1.102973
157.5	0	78751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.4017695
163.5	0	81751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.5612061
169.5	0	84751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.7624742
175.5	0	87751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4693933
181.5	0	90751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.2867262
187.5	0	93751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.7755286
193.5	0	96751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.7924907
199.5	0	99751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.3380349
205.5	0	102751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.4464855
211.5	0	105751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.4747038
217.5	0	108751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.7660957
223.5	0	111751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.2354156
229.5	0	114751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	0	0.232681
235.5	0	117751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.4129354
241.5	0	120751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	0.576117
247.5	0	123751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.2989603
253.5	0	126751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.3849631
259.5	0	129751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	2.304409
265.5	0	132751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	0	0.3016204
271.5	0	135751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	0	0.3381728
277.5	0	138751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.2364578
283.5	0	141751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.1591186
289.5	0	144751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.25374
295.5	0	147751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.7007779
301.5	0	150751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.8837475
307.5	0	153751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	1.229994
313.5	0	156751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5578171
319.5	0	159751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.649953
325.5	0	162751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	1.325491
331.5	0	165751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	1.286574
337.5	0	168751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.2674794
343.5	0	171751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.3841643
349.5	0	174751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.3181651
355.5	0	177751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7686057
361.5	0	180751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.741581
367.5	0	183751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.216034
373.5	0	186751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5197158
379.5	0	189751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.4315351
385.5	0	192751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.7859085
391.5	0	195751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	1.238047
397.5	0	198751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	1.570513
403.5	0	201751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.8416831
409.5	0	204751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5742095
415.5	0	207751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	0	0.4220548
421.5	0	210751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5740965
427.5	0	213751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.3577623
433.5	0	216751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.5366465
439.5	0	219751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.3397704
445.5	0	222751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.3179768
451.5	0	225751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.248258
457.5	0	228751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.341769
