onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.4202528
7.5	0	3751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.460441
13.5	0	6751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.4598598
19.5	0	9751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.3785504
25.5	0	12751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.8204915
31.5	0	15751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.6032216
37.5	0	18751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.234263
43.5	0	21751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.3341434
49.5	0	24751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.9252928
55.5	0	27751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3621754
61.5	0	30751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.3565142
67.5	0	33751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	1.028667
73.5	0	36751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6296733
79.5	0	39751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7683027
85.5	0	42751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.797956
91.5	0	45751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.29605
97.5	0	48751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4234336
103.5	0	51751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.6847121
109.5	0	54751	aud_only	2	2	no Gabor shown	2	no Sound played	1	0.9166408
115.5	0	57751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5919303
121.5	0	60751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.2370499
127.5	0	63751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.1775642
133.5	0	66751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.3935739
139.5	0	69751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8644157
145.5	0	72751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.4919557
151.5	0	75751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.9327033
157.5	0	78751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	1.183665
163.5	0	81751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.5502324
169.5	0	84751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	1.264992
175.5	0	87751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.2621335
181.5	0	90751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3832335
187.5	0	93751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.5178252
193.5	0	96751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7850024
199.5	0	99751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	0	0.8093198
205.5	0	102751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7217408
211.5	0	105751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6928207
217.5	0	108751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4457242
223.5	0	111751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.6818608
229.5	0	114751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.7095095
235.5	0	117751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.403779
241.5	0	120751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.2654445
247.5	0	123751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5587837
253.5	0	126751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.8930717
259.5	0	129751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.7660032
265.5	0	132751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	0.3469431
271.5	0	135751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3689273
277.5	0	138751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.2039245
283.5	0	141751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.9833738
289.5	0	144751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.649018
295.5	0	147751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.3804887
301.5	0	150751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.7007317
