onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6807123
7.5	0	3751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.585322
13.5	0	6751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.5955535
19.5	0	9751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5697992
25.5	0	12751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	0	0.4569057
31.5	0	15751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.9311664
37.5	0	18751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8335521
43.5	0	21751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8248715
49.5	0	24751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.370842
55.5	0	27751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	1.23581
61.5	0	30751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	2.00477
67.5	0	33751	aud_only	2	1	no Gabor shown	3	no Sound played	1	1.971604
73.5	0	36751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.848173
79.5	0	39751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.7052781
85.5	0	42751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.313345
91.5	0	45751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.2809714
97.5	0	48751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	1.053891
103.5	0	51751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	1.373861
109.5	0	54751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	1.369762
115.5	0	57751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.6278249
121.5	0	60751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	1.047088
127.5	0	63751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.6309511
133.5	0	66751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.346638
139.5	0	69751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	1.129508
145.5	0	72751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.9619217
151.5	0	75751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	1.236888
157.5	0	78751	aud_only	2	3	no Gabor shown	3	no Sound played	1	1.599722
163.5	0	81751	aud_only	2	3	no Gabor shown	1	no Sound played	1	1.58139
169.5	0	84751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	1.684958
175.5	0	87751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.126391
181.5	0	90751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.052199
187.5	0	93751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.9755388
193.5	0	96751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4735544
199.5	0	99751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.8346159
205.5	0	102751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.7004122
211.5	0	105751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	0	2.59246
217.5	0	108751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.089486
223.5	0	111751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6986683
229.5	0	114751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7131413
235.5	0	117751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.8183365
241.5	0	120751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.63081
247.5	0	123751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	1.062565
253.5	0	126751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	1.964067
259.5	0	129751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	3.578137
265.5	0	132751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6345518
271.5	0	135751	aud_only	2	1	no Gabor shown	3	no Sound played	1	1.003577
