onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.6308113
7.5	0	3751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.6394784
13.5	0	6751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4817904
19.5	0	9751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5844906
25.5	0	12751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.6292868
31.5	0	15751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.6451217
37.5	0	18751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.4560794
43.5	0	21751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.6069927
49.5	0	24751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.9708124
55.5	0	27751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.3588531
61.5	0	30751	aud_only	2	1	no Gabor shown	2	no Sound played	0	1.136087
67.5	0	33751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	0.7014854
73.5	0	36751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4263817
79.5	0	39751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.331385
85.5	0	42751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.3662235
91.5	0	45751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.5622391
97.5	0	48751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5001355
103.5	0	51751	aud_only	2	3	no Gabor shown	2	no Sound played	1	1.041469
109.5	0	54751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.660269
115.5	0	57751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	0	0.3773624
121.5	0	60751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.8440841
127.5	0	63751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3587944
133.5	0	66751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4382043
139.5	0	69751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3463787
145.5	0	72751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.4467203
151.5	0	75751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.8599815
157.5	0	78751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	0.6494753
163.5	0	81751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.7438519
169.5	0	84751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.4013845
175.5	0	87751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.7351094
181.5	0	90751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.4072776
187.5	0	93751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.8502503
193.5	0	96751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	0.5472852
199.5	0	99751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4878356
205.5	0	102751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.4828735
211.5	0	105751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4767962
217.5	0	108751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.3662822
223.5	0	111751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4302609
229.5	0	114751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.809064
235.5	0	117751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.3915355
241.5	0	120751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4045222
247.5	0	123751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.5271067
253.5	0	126751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	0.6077247
259.5	0	129751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.8044814
265.5	0	132751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.5440223
271.5	0	135751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.654551
277.5	0	138751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.4938985
283.5	0	141751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.489669
289.5	0	144751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5501208
295.5	0	147751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.4939213
301.5	0	150751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5408711
307.5	0	153751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.3066501
313.5	0	156751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	0	0.5656053
319.5	0	159751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	0	0.4122722
325.5	0	162751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	0.410545
331.5	0	165751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5191409
337.5	0	168751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4979368
343.5	0	171751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4617204
349.5	0	174751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.3326243
355.5	0	177751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	0	0.5838237
361.5	0	180751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	0.5599668
367.5	0	183751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4642611
373.5	0	186751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5458878
379.5	0	189751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.2294214
385.5	0	192751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.6887364
391.5	0	195751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.7984095
397.5	0	198751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.4038511
403.5	0	201751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.4903302
409.5	0	204751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	0.9412405
415.5	0	207751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.6882902
421.5	0	210751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.044167
427.5	0	213751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5991879
433.5	0	216751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	1.147249
439.5	0	219751	aud_only	2	2	no Gabor shown	2	no Sound played	0	0.6742108
445.5	0	222751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	0	0.6740398
451.5	0	225751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.4434908
457.5	0	228751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	1.298244
463.5	0	231751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.4154754
469.5	0	234751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.6232259
475.5	0	237751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.6088376
481.5	0	240751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.7421385
487.5	0	243751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	0	0.7868497
493.5	0	246751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.4432967
499.5	0	249751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.6390267
505.5	0	252751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5612391
511.5	0	255751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.3602332
517.5	0	258751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.8794148
523.5	0	261751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.6302826
529.5	0	264751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	1.872158
535.5	0	267751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.4372935
541.5	0	270751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.6525508
547.5	0	273751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5997682
553.5	0	276751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.6590397
559.5	0	279751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.8155356
565.5	0	282751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.511423
571.5	0	285751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.25276
577.5	0	288751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.810114
583.5	0	291751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.9416736
589.5	0	294751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.5571945
595.5	0	297751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.8302928
601.5	0	300751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.6454219
607.5	0	303751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7527022
613.5	0	306751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.7189387
619.5	0	309751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5604471
625.5	0	312751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	1.039629
631.5	0	315751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.8650454
637.5	0	318751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.7341585
643.5	0	321751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	1.197875
649.5	0	324751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.9841389
655.5	0	327751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.614033
661.5	0	330751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.9636652
667.5	0	333751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.5672606
673.5	0	336751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.7972928
679.5	0	339751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.7662426
685.5	0	342751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.6632903
691.5	0	345751	aud_only	2	1	no Gabor shown	1	no Sound played	0	1.900628
697.5	0	348751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.7656989
703.5	0	351751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.314696
709.5	0	354751	aud_only	2	2	no Gabor shown	2	no Sound played	0	1.578952
715.5	0	357751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7392564
721.5	0	360751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.8922924
727.5	0	363751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	1.604961
733.5	0	366751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.8538093
739.5	0	369751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	0	1.926503
745.5	0	372751	aud_only	2	3	no Gabor shown	2	no Sound played	0	0.805976
751.5	0	375751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.6892182
