onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.6674081
7.5	0	3751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.6858697
13.5	0	6751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.741322
19.5	0	9751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.991313
25.5	0	12751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	1.693481
31.5	0	15751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.6512015
37.5	0	18751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6400652
43.5	0	21751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.5748788
49.5	0	24751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.8481071
55.5	0	27751	aud_only	2	1	no Gabor shown	2	no Sound played	1	1.777654
61.5	0	30751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5534486
67.5	0	33751	aud_only	2	2	no Gabor shown	2	no Sound played	1	1.852817
73.5	0	36751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.7607013
79.5	0	39751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.244933
85.5	0	42751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.9232073
91.5	0	45751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.6349866
97.5	0	48751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4921529
103.5	0	51751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.5285161
109.5	0	54751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.6216839
115.5	0	57751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.7960666
121.5	0	60751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5772078
127.5	0	63751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5490472
133.5	0	66751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	1.434184
