onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5115654
7.5	0	3751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6250745
13.5	0	6751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.4525788
19.5	0	9751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.3461832
25.5	0	12751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.3907834
31.5	0	15751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.5952592
37.5	0	18751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.3660553
43.5	0	21751	aud_only	2	1	no Gabor shown	2	no Sound played	1	1.245526
49.5	0	24751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5651259
55.5	0	27751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6543802
61.5	0	30751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.3548214
67.5	0	33751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5576461
73.5	0	36751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5896878
79.5	0	39751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4552906
85.5	0	42751	aud_only	2	2	no Gabor shown	2	no Sound played	1	0.6456826
91.5	0	45751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.6202824
97.5	0	48751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.8350095
103.5	0	51751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	0.7788354
109.5	0	54751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	1.180995
115.5	0	57751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.5455701
121.5	0	60751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6738519
127.5	0	63751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.725647
133.5	0	66751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.7600245
139.5	0	69751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.2678583
145.5	0	72751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.6183088
151.5	0	75751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	0	1.514556
157.5	0	78751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	0	0.2511051
163.5	0	81751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.1621293
169.5	0	84751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.7024809
175.5	0	87751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.013545
181.5	0	90751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.2978331
187.5	0	93751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.2701181
193.5	0	96751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.3373836
199.5	0	99751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.548296
205.5	0	102751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.6023871
211.5	0	105751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6419247
217.5	0	108751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5435256
223.5	0	111751	vis_only	4	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.6219685
229.5	0	114751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.7598949
235.5	0	117751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.7279119
241.5	0	120751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.01809
247.5	0	123751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4885613
253.5	0	126751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	0	1.028659
259.5	0	129751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.5931137
265.5	0	132751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.5352788
271.5	0	135751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	1.05077
277.5	0	138751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.5706139
283.5	0	141751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5545657
289.5	0	144751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4344214
295.5	0	147751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.6079636
301.5	0	150751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.6287814
307.5	0	153751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.3263521
313.5	0	156751	aud_only	2	1	no Gabor shown	1	no Sound played	0	1.09451
319.5	0	159751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5769026
325.5	0	162751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4663567
331.5	0	165751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.6687405
337.5	0	168751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.2034477
343.5	0	171751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.7160983
349.5	0	174751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.700175
355.5	0	177751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.8426247
361.5	0	180751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.7632643
367.5	0	183751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5497973
373.5	0	186751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.2758207
