onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5086568
7.5	0	3751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.585714
13.5	0	6751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.4832176
19.5	0	9751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.6217583
25.5	0	12751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5997196
31.5	0	15751	vis_dis	3	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.2226443
37.5	0	18751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.2338996
43.5	0	21751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.2471747
49.5	0	24751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	1.27006
55.5	0	27751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.2491678
61.5	0	30751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.2427954
67.5	0	33751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.471397
73.5	0	36751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.2703593
79.5	0	39751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.297108
85.5	0	42751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.8145369
91.5	0	45751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.4780723
97.5	0	48751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.5245891
103.5	0	51751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.9247913
109.5	0	54751	aud_only	2	3	no Gabor shown	2	no Sound played	0	0.3066215
115.5	0	57751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.950228
121.5	0	60751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	0.7664472
127.5	0	63751	aud_only	2	3	no Gabor shown	3	no Sound played	0	1.247051
133.5	0	66751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.898432
139.5	0	69751	aud_only	2	1	no Gabor shown	3	no Sound played	1	2.287071
145.5	0	72751	aud_only	2	1	no Gabor shown	2	no Sound played	0	0.4104675
151.5	0	75751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.2996649
157.5	0	78751	aud_only	2	2	no Gabor shown	1	no Sound played	1	0.7297597
163.5	0	81751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.3860144
169.5	0	84751	aud_only	2	3	no Gabor shown	2	no Sound played	0	2.708784
175.5	0	87751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	1.874041
181.5	0	90751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.2898798
187.5	0	93751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.7336625
193.5	0	96751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.5333653
199.5	0	99751	aud_only	2	2	no Gabor shown	2	no Sound played	1	1.351407
205.5	0	102751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.5415059
211.5	0	105751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5564829
217.5	0	108751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	0	0.6261895
223.5	0	111751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5820052
229.5	0	114751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.2643462
235.5	0	117751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5681286
241.5	0	120751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4311723
