onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	vis_only	4	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3915553
7.5	0	3751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.2119064
13.5	0	6751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.601414
19.5	0	9751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5899819
25.5	0	12751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.16449
31.5	0	15751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	0.7982944
37.5	0	18751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5471074
43.5	0	21751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.422538
49.5	0	24751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3673713
55.5	0	27751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.4392374
61.5	0	30751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3960324
67.5	0	33751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.186122
73.5	0	36751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5089685
79.5	0	39751	nonsp_aud	6	2	no Gabor shown	2	no Sound played	1	0.9796358
85.5	0	42751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	0.362164
91.5	0	45751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.2777007
97.5	0	48751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.2659642
103.5	0	51751	aud_dis	1	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.229395
109.5	0	54751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.1649853
115.5	0	57751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.2221121
121.5	0	60751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.1929124
127.5	0	63751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.05624077
133.5	0	66751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.4602104
139.5	0	69751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.4791634
145.5	0	72751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.4844275
151.5	0	75751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.2135435
157.5	0	78751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.3949827
163.5	0	81751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.5719108
169.5	0	84751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.195243
175.5	0	87751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.3907225
181.5	0	90751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	0	0.4434309
187.5	0	93751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3951912
193.5	0	96751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.5129535
199.5	0	99751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.3861636
205.5	0	102751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.1819888
211.5	0	105751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.3552937
217.5	0	108751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.1387068
223.5	0	111751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.6175545
229.5	0	114751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.581072
235.5	0	117751	aud_dis	1	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	0	0.9186735
241.5	0	120751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.5897773
247.5	0	123751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.2716654
253.5	0	126751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.510517
259.5	0	129751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5352861
265.5	0	132751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.1939303
271.5	0	135751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.490992
277.5	0	138751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.1426267
283.5	0	141751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.2201947
289.5	0	144751	nonsp_aud	6	3	no Gabor shown	3	no Sound played	1	0.246555
295.5	0	147751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	0	0.0696272
