onset	duration	sample	trial_type	condition	GaborV	Gabor_stim_file	SoundV	Sound_stim_file	Correct	response_time
1.5	0	751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.582199
7.5	0	3751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5535571
13.5	0	6751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.674562
19.5	0	9751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.114326
25.5	0	12751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.5401046
31.5	0	15751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.8185268
37.5	0	18751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.3825667
43.5	0	21751	vis_only	4	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7524656
49.5	0	24751	aud_dis	1	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.6686262
55.5	0	27751	aud_only	2	1	no Gabor shown	1	no Sound played	1	1.371222
61.5	0	30751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.218581
67.5	0	33751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	1.111409
73.5	0	36751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	0	0.7535243
79.5	0	39751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7763929
85.5	0	42751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	0	0.3977163
91.5	0	45751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.8157692
97.5	0	48751	aud_only	2	1	no Gabor shown	1	no Sound played	1	0.2917634
103.5	0	51751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.670355
109.5	0	54751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	0.7566136
115.5	0	57751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.036147
121.5	0	60751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.6350293
127.5	0	63751	nonsp_aud	6	3	no Gabor shown	1	no Sound played	1	1.087611
133.5	0	66751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.9435488
139.5	0	69751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.129918
145.5	0	72751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.494347
151.5	0	75751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	1.194674
157.5	0	78751	nonsp_aud	6	3	no Gabor shown	2	no Sound played	1	0.5268048
163.5	0	81751	vis_only	4	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.5157881
169.5	0	84751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8060873
175.5	0	87751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.8211256
181.5	0	90751	aud_dis	1	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.5542497
187.5	0	93751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.895081
193.5	0	96751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	1	0.8390591
199.5	0	99751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.7143466
205.5	0	102751	aud_only	2	3	no Gabor shown	1	no Sound played	1	1.02318
211.5	0	105751	nonsp_aud	6	2	no Gabor shown	3	no Sound played	1	0.6947809
217.5	0	108751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.8135412
223.5	0	111751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.33195
229.5	0	114751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	0.7698143
235.5	0	117751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8048032
241.5	0	120751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.7505729
247.5	0	123751	vis_dis	3	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.4482817
253.5	0	126751	vis_dis	3	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.4222923
259.5	0	129751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6662568
265.5	0	132751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.8005253
271.5	0	135751	nonsp_vis	5	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	18.68729
277.5	0	138751	aud_only	2	1	no Gabor shown	3	no Sound played	1	0.7463845
283.5	0	141751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.20024
289.5	0	144751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.6582762
295.5	0	147751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.3429813
301.5	0	150751	nonsp_vis	5	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.6155373
307.5	0	153751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.9596569
313.5	0	156751	nonsp_aud	6	1	no Gabor shown	1	no Sound played	0	1.653978
319.5	0	159751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.600621
325.5	0	162751	vis_only	4	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.5438621
331.5	0	165751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7867991
337.5	0	168751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.8239544
343.5	0	171751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.4051444
349.5	0	174751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.6956525
355.5	0	177751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.873511
361.5	0	180751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.649663
367.5	0	183751	vis_only	4	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.5928669
373.5	0	186751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5669865
379.5	0	189751	vis_only	4	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.5773048
385.5	0	192751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.7936062
391.5	0	195751	aud_only	2	2	no Gabor shown	3	no Sound played	1	1.212441
397.5	0	198751	vis_only	4	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.8004534
403.5	0	201751	aud_only	2	3	no Gabor shown	1	no Sound played	1	0.8263162
409.5	0	204751	nonsp_vis	5	1	gabor-10_50percent.png	1	stimulus___500Hz.wav	1	0.9241688
415.5	0	207751	aud_only	2	3	no Gabor shown	3	no Sound played	1	0.5786413
421.5	0	210751	nonsp_vis	5	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	0.5908542
427.5	0	213751	nonsp_aud	6	1	no Gabor shown	3	no Sound played	1	0.9458201
433.5	0	216751	aud_dis	1	1	gabor-10_50percent.png	2	stimulus___1000Hz.wav	1	1.754531
439.5	0	219751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.9178192
445.5	0	222751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.64549
451.5	0	225751	aud_dis	1	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	1.096146
457.5	0	228751	nonsp_vis	5	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.9014175
463.5	0	231751	vis_dis	3	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	1.510001
469.5	0	234751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.8786512
475.5	0	237751	nonsp_vis	5	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5117521
481.5	0	240751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4968056
487.5	0	243751	aud_only	2	2	no Gabor shown	3	no Sound played	1	0.4453512
493.5	0	246751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.9775493
499.5	0	249751	aud_only	2	3	no Gabor shown	2	no Sound played	1	0.4551774
505.5	0	252751	aud_dis	1	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.3571037
511.5	0	255751	vis_dis	3	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	1	0.3925918
517.5	0	258751	vis_dis	3	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	0.2314414
523.5	0	261751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.4043957
529.5	0	264751	vis_dis	3	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.3549829
535.5	0	267751	aud_only	2	2	no Gabor shown	1	no Sound played	1	1.293069
541.5	0	270751	nonsp_aud	6	2	no Gabor shown	1	no Sound played	1	0.8202909
547.5	0	273751	vis_dis	3	3	gabor10_50percent.png	3	stimulus___2000Hz.wav	1	0.7060545
553.5	0	276751	nonsp_vis	5	2	gabor0_50percent.png	1	stimulus___500Hz.wav	1	0.5291274
559.5	0	279751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5653485
565.5	0	282751	nonsp_vis	5	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	0	0.7996517
571.5	0	285751	nonsp_vis	5	2	gabor0_50percent.png	3	stimulus___2000Hz.wav	1	0.5170896
577.5	0	288751	aud_dis	1	3	gabor10_50percent.png	2	stimulus___1000Hz.wav	1	1.244213
583.5	0	291751	nonsp_aud	6	1	no Gabor shown	2	no Sound played	1	0.8601146
589.5	0	294751	aud_only	2	1	no Gabor shown	2	no Sound played	1	0.5521369
595.5	0	297751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5200679
601.5	0	300751	aud_dis	1	1	gabor-10_50percent.png	3	stimulus___2000Hz.wav	0	1.304598
607.5	0	303751	vis_dis	3	3	gabor10_50percent.png	1	stimulus___500Hz.wav	1	0.2549302
613.5	0	306751	vis_only	4	2	gabor0_50percent.png	2	stimulus___1000Hz.wav	1	0.5648076
